iter	MultiClass
0	1.046770031
1	1.004428599
2	0.9559646583
3	0.9231044405
4	0.8862189687
5	0.8538459897
6	0.8274524092
7	0.8036361244
8	0.784108707
9	0.7693445639
10	0.7521028675
11	0.7377102882
12	0.7240461285
13	0.7132591987
14	0.7040409627
15	0.6971804501
16	0.6887378726
17	0.6796077658
18	0.6694342487
19	0.6628878745
20	0.6570242654
21	0.6507547249
22	0.6456051856
23	0.6395275878
24	0.6345827641
25	0.6296268024
26	0.6248251533
27	0.6206179546
28	0.6174400295
29	0.6129896078
30	0.6098318055
31	0.6049438261
32	0.6007721247
33	0.5969183353
34	0.5930898078
35	0.5889364056
36	0.5844226895
37	0.5803789162
38	0.5780494811
39	0.5738543217
40	0.5687164389
41	0.5656090473
42	0.5626577991
43	0.5606301766
44	0.5573541699
45	0.5543250971
46	0.5512458822
47	0.549139718
48	0.546011429
49	0.5439981321
50	0.5411394278
51	0.5395314724
52	0.5373936373
53	0.5362715297
54	0.5347902802
55	0.5328450333
56	0.5298663281
57	0.5283718086
58	0.5264210318
59	0.5245715796
60	0.5224075795
61	0.5213450767
62	0.519031528
63	0.5158125718
64	0.5141356439
65	0.512423878
66	0.5107661418
67	0.5083733506
68	0.5063406529
69	0.5044511371
70	0.5025029934
71	0.4994168601
72	0.496716156
73	0.4953626419
74	0.4940131435
75	0.4914119698
76	0.4890154672
77	0.487016344
78	0.4849606337
79	0.4833826053
80	0.4814270343
81	0.4802554023
82	0.4785363151
83	0.47728761
84	0.4752787499
85	0.4731014215
86	0.4722947003
87	0.4703674804
88	0.468721599
89	0.466948916
90	0.4653750877
91	0.4634500535
92	0.4617912721
93	0.4599473588
94	0.4572652739
95	0.4550848768
96	0.4538901991
97	0.452030079
98	0.4505802735
99	0.4495608024
100	0.4480097064
101	0.446358606
102	0.4455974631
103	0.4445476667
104	0.4432563281
105	0.4423269571
106	0.4407176438
107	0.4389352046
108	0.4376146178
109	0.4359697533
110	0.4338191281
111	0.4329316523
112	0.431499051
113	0.4293992228
114	0.4281637732
115	0.426720648
116	0.4255007637
117	0.4239158648
118	0.4221156235
119	0.4211950153
120	0.4208456145
121	0.4201927047
122	0.4181857452
123	0.4167925024
124	0.415146109
125	0.4142662384
126	0.4130822379
127	0.4121399028
128	0.4108013388
129	0.4097588076
130	0.4081928922
131	0.4069831757
132	0.4065822089
133	0.4059556461
134	0.404711953
135	0.4038062346
136	0.4027777896
137	0.4016815022
138	0.4002944038
139	0.3991122421
140	0.3978873612
141	0.3970258513
142	0.3960310446
143	0.3952856874
144	0.3948311893
145	0.3940531553
146	0.3923458685
147	0.3917042263
148	0.3905469243
149	0.3890811945
