iter	Passed	Remaining
0	0	123
1	1	90
2	1	77
3	1	69
4	2	65
5	2	62
6	2	59
7	3	57
8	3	56
9	3	54
10	4	53
11	4	53
12	4	52
13	5	51
14	5	51
15	6	53
16	6	52
17	7	51
18	7	50
19	7	50
20	8	49
21	8	48
22	8	48
23	9	47
24	9	46
25	9	46
26	10	46
27	10	45
28	10	45
29	11	44
30	11	44
31	11	43
32	12	43
33	12	42
34	12	42
35	13	41
36	13	41
37	14	41
38	14	40
39	14	40
40	15	39
41	15	40
42	16	39
43	16	39
44	16	39
45	17	38
46	17	38
47	17	37
48	18	37
49	18	37
50	18	36
51	19	36
52	19	35
53	19	35
54	20	35
55	20	34
56	20	34
57	21	33
58	21	33
59	21	32
60	22	32
61	22	32
62	22	31
63	23	31
64	23	30
65	23	30
66	24	29
67	24	29
68	24	29
69	25	28
70	25	28
71	25	27
72	26	27
73	26	27
74	26	26
75	27	26
76	27	26
77	27	25
78	28	25
79	28	24
80	28	24
81	29	24
82	29	23
83	29	23
84	30	23
85	30	22
86	30	22
87	31	22
88	31	21
89	31	21
90	32	20
91	32	20
92	32	20
93	33	19
94	33	19
95	33	19
96	34	18
97	34	18
98	34	17
99	35	17
100	35	17
101	35	16
102	36	16
103	36	16
104	36	15
105	37	15
106	37	15
107	37	14
108	38	14
109	38	14
110	38	13
111	39	13
112	39	12
113	39	12
114	40	12
115	40	11
116	40	11
117	41	11
118	41	10
119	42	10
120	42	10
121	42	9
122	43	9
123	43	9
124	43	8
125	44	8
126	44	8
127	44	7
128	44	7
129	45	6
130	45	6
131	46	6
132	46	5
133	46	5
134	47	5
135	47	4
136	47	4
137	48	4
138	48	3
139	48	3
140	49	3
141	49	2
142	49	2
143	50	2
144	50	1
145	50	1
146	51	1
147	51	0
148	51	0
149	52	0
